exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
107681.39,0.496472634,5.5,139,0,0.0485424,0.044566335,1.518874806
107741.44,0.490798491,5.5,139,0,0.05048245,0.045315591,1.40844689
107801.49,0.511853985,5.5,139,0,0.049298624,0.044789597,1.464041825
107861.55,0.520362175,5.5,139,0,0.051865399,0.044701987,1.440296717
107921.63,0.522742248,5.5,139,0,0.050040519,0.045288912,1.38197223
107981.68,0.545481474,5.5,139,0,0.049926969,0.045011519,1.440614622
108041.74,0.552126435,5.5,139,0,0.05199856,0.045060364,1.440614622
108101.8,0.515222022,5.5,139,0,0.049779586,0.045041773,1.440614622
108161.86,0.469854761,5.5,139,0,0.048773671,0.044841345,1.440614622
108221.89,0.418791775,5.5,139,0,0.051800379,0.044867977,1.440614622
108281.94,0.443608118,5.5,139,0,0.050846142,0.045516436,1.440614622
108341.98,0.452342854,5.5,139,0,0.049970432,0.044588344,1.440614622
108402.02,0.440504025,5.5,139,0,0.049749821,0.045075457,1.440614622
108462.05,0.447458757,5.5,139,0,0.050319079,0.044960945,1.440614622
108522.09,0.468980279,5.5,139,0,0.050347845,0.044738378,1.440614622
108582.13,0.477003843,5.5,139,0,0.051769283,0.044894204,1.419475375
108642.2,0.481257073,5.5,139,0,0.051061973,0.045262754,1.375132713
108702.27,0.486874716,5.5,139,0,0.049844237,0.04495614,1.341191827
108762.34,0.50512381,5.5,139,0,0.050664217,0.044689705,1.384522441
108822.4,0.498362076,5.5,139,0,0.049060064,0.044745763,1.274866235
108882.47,0.503737318,5.5,139,0,0.051388195,0.04501664,1.243307116
108942.54,0.530577692,5.5,139,0,0.052332867,0.044844698,1.336876141
109002.58,0.540041925,5.5,139,0,0.049144737,0.045180723,1.323073468
109062.65,0.550109101,5.5,139,0,0.050672182,0.044504841,1.323073468
109122.69,0.497034692,5.5,139,0,0.05120092,0.044867193,1.323073468
109182.76,0.462065668,5.5,139,0,0.049942429,0.044594341,1.323073468
109242.85,0.471449882,5.5,139,0,0.051855938,0.044623263,1.323073468
109302.91,0.416907897,5.5,139,0,0.050067456,0.044989775,1.323073468
109362.95,0.441910676,5.5,139,0,0.050851375,0.044046932,1.323073468
109423.01,0.446981157,5.5,139,0,0.050809183,0.044112006,1.323073468
109483.08,0.458262932,5.5,139,0,0.050041202,0.045582442,1.323073468
109543.16,0.45758336,5.5,139,0,0.050789139,0.04457098,1.323073468
109603.21,0.46088616,5.5,139,0,0.051667052,0.044594595,1.323073468
109663.25,0.484729503,5.5,139,0,0.050170376,0.045276989,1.408239608
109723.32,0.496442894,5.5,139,0,0.050256787,0.044914135,1.409459978
109783.37,0.483884305,5.5,139,0,0.049143093,0.04446051,1.262119116
109843.43,0.494661529,5.5,139,0,0.049538777,0.044440312,1.265096894
109903.5,0.503567475,5.5,139,0,0.048958615,0.044323756,1.25537395
109963.53,0.513274899,5.5,139,0,0.051254089,0.044341373,1.249886806
110023.61,0.53225133,5.5,139,0,0.049418409,0.044533674,1.29630517
110083.71,0.531384177,5.5,139,0,0.04918901,0.044920161,1.226598279
110143.77,0.550393378,5.5,139,0,0.047619048,0.044710438,1.270712358
110203.84,0.539898505,5.5,139,0,0.04995612,0.044799444,1.14942048
110263.89,0.582776913,5.5,139,0,0.048503876,0.044577727,1.321219328
110323.96,0.580352441,5.5,139,0,0.048475322,0.044776119,1.321219328
110384,0.528163204,5.5,139,0,0.050372744,0.045085507,1.321219328
110444.07,0.496363877,5.5,139,0,0.050283801,0.044845553,1.321219328
110504.14,0.482099037,5.5,139,0,0.049770792,0.044849867,1.321219328
110564.2,0.450925862,5.5,139,0,0.049281007,0.044799684,1.321219328
110624.26,0.430795206,5.5,139,0,0.048839959,0.044740973,1.321219328
110684.32,0.462306126,5.5,139,0,0.049962321,0.043947858,1.321219328
110744.36,0.456143724,5.5,139,0,0.049236865,0.044233524,1.321219328
110804.43,0.464322083,5.5,139,0,0.049730468,0.045309867,1.321219328
110864.48,0.458389834,5.5,139,0,0.050677757,0.044560944,1.321219328
110924.52,0.454501309,5.5,139,1000,0.050153915,0.044962687,1.229600775
110984.56,0.464902787,5.5,139,1000,0.04826093,0.044801838,1.23600333
